Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-01-11,44.2012,44.7773,43.3837,43.9944,198934.90490062
2022-01-12,44.2012,44.5163,42.9405,43.6103,187346.6314217
2022-01-13,44.3194,44.7133,41.4632,41.5617,686682.11694552
2022-01-14,41.6602,42.5466,40.7886,42.2216,192061.95097275
2022-01-17,42.2511,42.4432,41.7685,42.0886,119959.3945647
2022-01-18,42.3299,42.3299,40.7738,40.7738,141953.05020536
2022-01-19,41.1678,41.4977,39.7889,39.7889,175399.93679689
2022-01-20,39.8431,40.6753,39.5329,40.5227,96985.919077622
2022-01-21,40.5178,40.5178,39.5083,39.592,119580.66627173
2022-01-24,39.6905,39.8874,37.4252,38.3215,222320.61547334
2022-01-25,38.2033,39.3064,37.5927,38.6514,155541.57767127
2022-01-26,38.2131,40.9462,37.77,40.1386,180321.37389076
2022-01-27,39.4442,40.1337,38.5825,39.9219,143142.03366666
2022-01-28,39.9268,41.2663,38.9124,39.0404,108023.86887078
2022-01-31,39.2867,39.5477,38.6563,38.6563,114964.85174136
2022-02-01,38.9026,39.3655,38.4298,38.9026,151290.27643091
2022-02-02,38.9518,39.6905,38.9026,39.6905,15334.942114441
2022-02-03,39.6905,41.4238,39.6905,41.1333,163221.74069541
2022-02-04,40.9216,41.4928,40.2174,41.4928,221998.74719219
2022-02-07,41.9557,41.9557,39.4393,39.9416,149189.5020659
2022-02-08,40.3799,40.5325,39.5969,40.2814,144183.79031166
2022-02-09,40.7541,40.8428,39.8874,40.3749,93004.702893372
2022-02-10,40.7541,40.7541,39.001,39.2473,145621.53632464
2022-02-11,39.2473,39.6855,38.9026,39.395,98071.336088834
2022-02-14,38.9124,39.3851,37.6222,38.8041,137455.01712803
2022-02-15,38.7056,39.9859,38.7056,39.7692,34317.047843732
2022-02-16,39.8874,39.8874,39.395,39.8677,63199.903129927
2022-02-17,39.8874,39.8874,39.001,39.6905,76520.376254429
2022-02-18,39.395,39.7397,39.2029,39.7397,80152.309508972
2022-02-21,38.9124,39.784,38.4692,39.3753,168957.49438703
2022-02-22,38.4594,38.9518,37.9177,38.7056,371530.42468631
2022-02-23,38.4101,39.3458,38.4101,39.198,387310.09332172
2022-02-24,38.1639,38.1639,35.3078,37.6862,1191307.6142826
2022-02-25,37.7207,39.6855,37.7207,39.4295,344259.95687795
2022-02-28,39.2473,40.9609,38.8632,40.8723,94130.734198737
2022-03-01,40.6064,42.1477,40.1238,40.9609,677731.74187178
2022-03-02,40.7738,41.6553,36.8343,40.4931,238355.13880455
2022-03-03,40.6507,44.1224,40.3454,42.3496,295985.80684888
2022-03-04,43.7678,44.2209,39.917,40.1386,414751.14116552
2022-03-07,40.3848,40.8231,37.4252,40.4981,201097.61606421
2022-03-08,39.3605,40.4242,38.6268,39.8874,297802.28115483
2022-03-09,39.001,41.6553,38.9026,41.4091,442147.51328575
2022-03-10,41.7587,42.1526,40.5818,40.5867,374638.43354629
2022-03-11,41.3647,41.3647,39.5132,40.3208,324338.6455964
2022-03-14,40.8723,41.5617,39.9662,41.542,194619.63614697
2022-03-15,41.6553,42.2955,40.8723,41.4632,102920.68281058
2022-03-16,42.2955,42.2955,40.4981,41.7587,314516.07855573
2022-03-17,42.2019,44.0387,41.4682,43.5807,527755.33785669
2022-03-18,43.9648,45.649,43.1868,45.0531,1527898.5770673
2022-03-21,45.6194,46.7274,44.3243,46.2891,398273.92202805
2022-03-22,46.0774,46.2793,44.6247,45.3338,265119.95865072
2022-03-23,45.1467,45.7967,44.8118,45.3042,166592.72711003
2022-03-24,44.7527,46.2793,44.7232,45.649,424585.89249442
2022-03-25,44.9694,46.1857,44.9152,45.8558,405138.75309709
2022-03-28,45.4569,46.0823,44.3194,45.5505,331592.35853194
2022-03-29,45.7967,46.0183,44.9989,44.9989,286597.81275565
2022-03-30,45.3042,45.7671,44.472,45.3042,143385.71943157
2022-03-31,45.0531,45.388,43.0834,44.0929,432508.72592612
2022-04-01,44.5065,45.9296,43.6546,45.058,652798.62669187
2022-04-04,45.9592,46.2103,44.8217,45.3929,384726.0088563
2022-04-05,45.7474,45.7474,44.5656,44.9792,115140.50856357
2022-04-06,45.3042,45.3338,43.6497,44.5557,144586.88718112
2022-04-07,45.0334,45.0334,44.1667,44.344,76695.017719283
